NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
72,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm X 1710cm,MATERIAL,182000050,ZSBI-INV/18/I/1281,30-Jan-18,"12,700,000",100%,"12,700,000","1,270,000", - ,"13,970,000",LUNAS 23/02/2018,LUNAS,,
,,TRAVEL GRATE 252,,,,,,,,,,,,,,
,,Y-GRATE 47 mm,,,,,,,,,,,,,,
73,GLOBAL INTERITI INDUSTRY,"PIPA BOILER MANNESMAN OD 50,8 TBL 3,2mm, P:7m",MATERIAL,OPP-1802-00035,ZSBI-INV/18/II/1282,12-Feb-18,"53,750,000",40%, BATAL ,,,,INV 12/02/2018,BATAL,,
,,,,,,,,60%,,,,,,,,
74,BPK GUNAWAN,RANTAI 13 MATA 14mm,MATERIAL,1915/STE/18,ZSBI-INV/18/II/1283,13-Feb-18,"10,000,000",100%,"9,090,900","909,100", - ,"10,000,000",LUNAS 15/02/2018,LUNAS,,
75,ELANG PERDANA TYRE INDUSTRY,Jasa Bongkar Pasang Akomodasi dan lain-lain,JASA & MATERIAL,18/02/PO/00872,ZSBI-INV/18/II/1284,19-Feb-18,"9,310,000",100%,"21,778,750","2,177,875", - ,"23,956,625",LUNAS 16/03/2018,LUNAS,,
,,Material Perbaikan Dinding Coal Boiler,,,,,"12,468,750",,,,,,,,,
76,JIALE INDONESIA TEXTILE,"LONG SHAFT DIA.18,L=2500mm",MATERIAL,ZS.P-SP/18/II/077,ZSBI-INV/18/II/1286,19-Feb-18,"21,800,000",100%,"23,600,000", - , - ,"23,600,000",LUNAS 10/04/2018,LUNAS,,
,,DRIVING GRATE Y-48,,,,,,,,,,,,,,
,,PASSIVE BAR T24,,,,,,,,,,,,,,
,,ONGKIR,,,,,"1,800,000",,,,,,,,,
77,ELANG PERDANA TYRE INDUSTRY,"Sight Glass B42X-2.5, 49X-2.5, L=350 25 Bar",MATERIAL,18/02/PO/00864,ZSBI-INV/18/II/1287,21-Feb-18,"4,230,000",100%,"4,230,000","423,000", - ,"4,653,000",LUNAS 10/04/2018,LUNAS,,
78,ANUGERAH DWI PRATAMA,GEARBOX GL-16P,MATERIAL,019/ADP-PO/II/2018,ZSBI-INV/18/II/1288,22-Feb-18,"6,813,000",100%,"6,813,000","681,300", - ,"7,494,300",LUNAS 05/04/2018,LUNAS,,
79,DUCON TETRABLOK INDONESIA,Y-GRATE 47 mm,MATERIAL,182000102,ZSBI-INV/18/II/1289,23-Feb-18,"3,700,000",100%,"3,700,000","370,000", - ,"4,070,000",LUNAS 02/03/2018,LUNAS,,
80,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm X 1710cm,MATERIAL,182000110,ZSBI-INV/18/II/1290,23-Feb-18,"4,400,000",100%,"4,400,000","440,000", - ,"4,840,000",LUNAS 20/03/2018,LUNAS,,
81,MANDALA UTAMA (AGUS),U-BOLT 14,MATERIAL,41B/MU-TECHNIK/230218,ZSBI-INV/18/II/1291,23-Feb-18,"2,300,000",100%,"2,090,900","209,100", - ,"2,300,000",LUNAS 13/03/2018,LUNAS,,
82,BU KRIS,RANTAI CINCIN 13 DIA.14,MATERIAL,KRIS3/18/II/006,ZSBI-INV/18/II/1292,23-Feb-18,"3,800,000",100%,"3,454,560","345,440", - ,"3,800,000",LUNAS 23/02/2018,LUNAS,,
83,DUCON TETRABLOK INDONESIA,Y-GRATE 47 mm,MATERIAL,182000119,ZSBI-INV/18/II/1294,26-Feb-18,"7,000,000",100%,"7,000,000","700,000", - ,"7,700,000",LUNAS 02/03/2018,LUNAS,,
,,AS CHAIN GRATE DIA.18mm X 1710cm,,,,,,,,,,,,,,
84,ARTHA PRIMA HUMATINDO,FABRIKASI EXPANSION TANK,JASA & MATERIAL,ZS.QUO_SP/18/III/263R1,ZSBI-INV/18/III/1295,05-Mar-18,"9,000,000",100%,"20,009,000","2,000,900", - ,"22,009,900",LUNAS 19/03/2018,LUNAS,,
,,SUPPLY METAL GASKET,,,,,"7,419,000",,,,,,,,,
,,SUPPLY STAINLESS STEEL,,,,,"3,590,000",,,,,,,,,
85,JIALE INDONESIA TEXTILE,RELOCATE COMPRESSOR,JASA,ZS.JL-ER/18/III/071,ZSBI-INV/18/III/1297,07-Mar-18,"15,211,000",100%,"24,788,000", - , - ,"24,788,000",LUNAS 18/04/2018,LUNAS,,
,,BOILER INSULATION WORK,,,,,"4,977,000",,,,,,,,,
,,REPAIR BOILER CHAIN GRATE,,,,,"4,600,000",,,,,,,,,
86,OCEAN ASIA INDUSTRY,U-BOLT 14 ,MATERIAL,183041,ZSBI-INV/18/III/1298,09-Mar-18,"1,520,000",100%,"1,520,000", - , - ,"1,520,000",LUNAS 27/04/2018,LUNAS,,
87,DUCON TETRABLOK INDONESIA,THERMOCOUPLE K.WRN-130 80cm (1100C),MATERIAL,182000152,ZSBI-INV/18/III/1299,15-Mar-18,"1,850,000",100%,"1,850,000","185,000", - ,"2,035,000",LUNAS 07/04/2018,LUNAS,,
88,DUCON TETRABLOK INDONESIA,Y-GRATE 47 mm,MATERIAL,182000153,ZSBI-INV/18/III/1300,15-Mar-18,"3,700,000",100%,"3,700,000","370,000", - ,"4,070,000",LUNAS 03/04/2018,LUNAS,,
89,OCEAN ASIA INDUSTRY,GRATE BAR T24,MATERIAL,183050,ZSBI-INV/18/III/1301,21-Mar-18,"7,000,000",100%,"7,000,000", - , - ,"7,000,000",LUNAS 18/04/2018,LUNAS,,
90,OCEAN ASIA INDUSTRY,GRATE BAR T24,MATERIAL,183054,ZSBI-INV/18/III/1302,27-Mar-18,"13,000,000",100%,"13,000,000", - , - ,"13,000,000",LUNAS 18/04/2018,LUNAS,,
,,LONG AS DIA 18mm L2200mm,,,,,,,,,,,,,,
91,BPK ANTO YUSUF,"GRATE BAR 318, PIN HOLDER",MATERIAL,ANTO3/18/III/007,ZSBI-INV/18/III/1304,12-Mar-18,"21,750,000",100%,"19,772,700","1,977,300", - ,"21,750,000",LUNAS 12/04/2018,LUNAS,,
92,MANDALA UTAMA (AGUS),SAFETY VALVE DN50 PN16,MATERIAL,-,ZSBI-INV/18/III/1305,27-Mar-18,"4,265,000",100%,"3,877,273","387,727", - ,"4,265,000",LUNAS 27/03/2018,LUNAS,,
,,"MOTOR GL-5P, 0,55 KW",,,,,,,,,,,,,,
93,DUCON TETRABLOK INDONESIA,Y-GRATE 47 mm,MATERIAL,182000222,ZSBI-INV/18/IV/1306,12-Apr-18,"3,700,000",100%,"3,700,000","370,000", - ,"4,070,000",LUNAS 02/05/2018,LUNAS,,
94,POLINDO UTAMA,ECONOMIZER CAP.4T/H MERK WUXI HUIFENG,MATERIAL,PO/PU/18/04/001259,ZSBI-INV/18/IV/1307,13-Apr-18,"58,600,000",30%,"17,580,000","1,758,000", - ,"19,338,000",LUNAS 12/04/2018,LUNAS,,
,,,,,ZSBI-INV/18/V/1328,21-May-18,,60%,"35,160,000","3,516,000", - ,"38,676,000",LUNAS 28/05/2018,LUNAS,,
,,,,,ZSBI-INV/18/VI/1341,07-Jun-18,,10%,"5,860,000","586,000", - ,"6,446,000",LUNAS 07/06/2018,LUNAS,,
95,SEMPANA SARANA TEKNIK,SPAREPART,MATERIAL,025/IV/SST/18,ZSBI-INV/18/IV/1308,16-Apr-18,"35,585,250",30%,"10,675,575","1,067,558", - ,"11,743,133",LUNAS 18/04/2018,LUNAS,,
,,,,,ZSBI-INV/18/V/1326,21-May-18,,70%,"24,909,675","2,490,968", - ,"27,400,643",LUNAS 04/06/2018,LUNAS,,
96,BATARA ELOK SEMESTA TERPADU,GEARBOX GL-10P,MATERIAL,OPP-1803-00345,ZSBI-INV/18/IV/1309,19-Apr-18,"33,000,000",100%,"33,000,000", - , - ,"33,000,000",LUNAS 15/05/2018,LUNAS,,
97,ELANG PERDANA TYRE INDUSTRY,SERVICE BATA API BOILER 20T,JASA,18/04/PO/02280,ZSBI-INV/18/IV/1310,20-Apr-18,"8,835,000",100%,"18,660,000","1,866,000", - ,"20,526,000",LUNAS 23/05/2018,LUNAS,,
,,MATERIAL PERBAIKAN BATA API BOILER 20T (CASTABLE),,,,,"9,825,000",,,,,,,,,
,,,,,,,,,,,,,,,,
98,PACIFIC EASTERN COCONUT UTAMA,VALVE BLOWDOWN DN40 PN25 FLANGE,MATERIAL,HOPO1801052,ZSBI-INV/18/IV/1311,24-Apr-18,"3,300,000",100%,"3,300,000","330,000", - ,"3,630,000",LUNAS 05/06/2018,LUNAS,,
99,ELANG PERDANA TYRE INDUSTRY,"SPAREPART SLAG OFF BOILER CONSIST OF SPROCKET 6 (2PCS),SHAFT PENGGERAK (1PCS),SHAFT BWH (1PCS),SHAFT TENGAH (1PCS),SMALL IDEL (2PCS)",MATERIAL,18/04/PO/02279,ZSBI-INV/18/IV/1313,26-Apr-18,"5,367,500",100%,"5,367,500","536,750", - ,"5,904,250",LUNAS 23/05/2018,LUNAS,,
100,SEMPANA SARANA TEKNIK,"Y-48, CINCIN 11,CINCIN9, CINCIN 13, SIGHT GLASS 350 N-C, SPROCKET 16GIGI",MATERIAL,029/IV/SST/18,ZSBI-INV/18/IV/1314,26-Apr-18,"11,695,000",100%,"11,695,000","1,169,500", - ,"12,864,500",LUNAS 21/05/2018,LUNAS,,
101,SEMPANA SARANA TEKNIK,"POMPA 40YU-1A-25-20/5,5KW",MATERIAL,035/IV/SST/18,ZSBI-INV/18/IV/1315,27-Apr-18,"14,400,000",100%,"14,400,000","1,440,000", - ,"15,840,000",LUNAS 27/04/2018,BELUM,,
102,PACIFIC EASTERN COCONUT UTAMA,"SAFETY VALVE DN50/80, PN40",MATERIAL,HOPO1805004,ZSBI-INV/18/V/1316,04-May-18,"5,700,000",100%,"5,700,000","570,000", - ,"6,270,000",LUNAS 05/06/2018,LUNAS,,
103,ANUGERAH DWI PRATAMA,SAFETY VALVE DN 50 PN25,MATERIAL,051/ADP-PO/V/2018,ZSBI-INV/18/V/1317,04-May-18,"1,818,182",100%,"1,818,182","181,818", - ,"2,000,000",LUNAS 24/07/2018,LUNAS,,
104,OCEAN ASIA INDUSTRY,THERMAL RESISTANCE PT100,MATERIAL,183077,ZSBI-INV/18/V/1320,11-May-18,"1,520,000",100%,"1,520,000", - , - ,"1,520,000",LUNAS 03/07/2018,LUNAS,,
105,OCEAN ASIA INDUSTRY,"U-BOLT 14, RANTAI 13",MATERIAL,183078,ZSBI-INV/18/V/1321,11-May-18,"11,700,000",100%,"11,700,000", - , - ,"11,700,000",LUNAS 03/07/2018,LUNAS,,
106,BATARA ELOK SEMESTA TERPADU,GRATE BAR 288 (Q200) ,MATERIAL,OPP-1805-00143,ZSBI-INV/18/V/1322,12-May-18,"26,500,000",100%,"26,500,000","2,650,000", - ,"29,150,000",LUNAS 25/06/2018,LUNAS,,
107,JIALE INDONESIA TEXTILE,10MK THERMAL OIL BOILER,JASA & MATERIAL,ZS.JL-SM/18/V/072,ZSBI-INV/18/V/1323,16-May-18,"59,775,000",40%,"43,626,000", - , - ,"43,626,000",LUNAS 04/06/2018,LUNAS,,
,,15T/H STEAM BOILER,,,ZSBI-INV/18/VII/1347,02-Jul-18,"49,290,000",60%,"65,439,000", - , - ,"65,439,000",LUNAS 20/07/2018,LUNAS,,
,,TRANSPORT & MOBILITATION,,,,,,,,,,,,,,
108,ANUGERAH DWI PRATAMA,SAFETY VALVE DN80 PN16,MATERIAL,062/ADP-PO/V/2018,ZSBI-INV/18/V/1324,18-May-18,"10,800,000",100%,"10,800,000","1,080,000", - ,"11,880,000",LUNAS 07/06/2018,LUNAS,,
109,BATARA ELOK SEMESTA TERPADU,CHAIN TRAVELLING GRATE DZL20 8mm FOR HOLDER 160mm,MATERIAL,OPP-1805-00247,ZSBI-INV/18/V/1325,21-May-18,"17,000,000",100%,"17,000,000","1,700,000", - ,"18,700,000",LUNAS 07/06/2018,LUNAS,,
110,SEMPANA SARANA TEKNIK,REDUCER JZQ250 SIZE 530x430x320mm,MATERIAL,037/V/SST/18,ZSBI-INV/18/V/1327,21-May-18,"14,960,000",100%,"14,960,000","1,496,000", - ,"16,456,000",LUNAS 05/06/2018,LUNAS,,
111,SEMPANA SARANA TEKNIK,LEVEL REGULATOR,MATERIAL,038/V/SST/18,ZSBI-INV/18/V/1329,22-May-18,"4,890,000",100%,"6,036,000","603,600", - ,"6,639,600",LUNAS 04/06/2018,LUNAS,,
,,STICK ELEKTRODE,,,,,"1,146,000",,,,,,,,,
112,DUCON TETRABLOK INDONESIA,TRAVEL GRATE 252 (MIRING),MATERIAL,182000292,ZSBI-INV/18/V/1330,25-May-18,"4,600,000",100%,"4,600,000","460,000", - ,"5,060,000",LUNAS 13/07/2018,LUNAS,,
113,ELANG PERDANA TYRE INDUSTRY,SERVICE PERBAIKAN PIPA AIR COAL BOILER,JASA,18/05/PO/03322,ZSBI-INV/18/V/1331,25-May-18,"3,800,000",100%,"3,800,000","380,000", - ,"4,180,000",LUNAS 02/07/2018,LUNAS,,
114,PELITA ENAMELWARE,SEALING BAR 400x100x130,MATERIAL,(18) 10450,ZSBI-INV/18/V/1332,25-May-18,"27,000,000",100%,"27,000,000","2,700,000", - ,"29,700,000",LUNAS 02/08/2018,LUNAS,,
115,OCEAN ASIA INDUSTRY,GRATE BAR T24,MATERIAL,183086,ZSBI-INV/18/V/1333,30-May-18,"17,500,000",100%,"27,500,000", - , - ,"27,500,000",LUNAS 31/10/2018,LUNAS,,
,,LONG AS DIA 18mm L2200mm,,,,,"10,000,000",,,,,,,,,
116,OCEAN ASIA INDUSTRY,MOTOR GEARBOX GL-16P-090 DIA 100,MATERIAL,183087,ZSBI-INV/18/V/1334,30-May-18,"49,000,000",100%,"49,000,000", - , - ,"49,000,000",LUNAS 31/10/2018,LUNAS,,
117,BATARA ELOK SEMESTA TERPADU,CHAIN TRAVELLING GRATE DZL20 8mm FOR HOLDER 160mm,MATERIAL,OPP-1805-00393,ZSBI-INV/18/V/1335,31-May-18,"59,500,000",100%,"59,500,000","5,950,000", - ,"65,450,000",LUNAS 26/06/2018,LUNAS,,
118,BATARA ELOK SEMESTA TERPADU,"RIGHT HOLDER DZL 25, LEFT HOLDER DZL 25 TON U/ GRATE BATU BARA BOILER 25 TON",MATERIAL,OPP-1805-00090,ZSBI-INV/18/V/1336,31-May-18,"125,000,000",100%,"125,000,000","12,500,000", - ,"137,500,000",LUNAS 18/07/2018,LUNAS,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
119,BATARA ELOK SEMESTA TERPADU,"GRATE BAR 288, LEFT,RIGHT,MIDDLE HOLDER P.160mm, ROLLER 255",MATERIAL,OPP-1806-00001,ZSBI-INV/18/VI/1337,05-Jun-18,"108,100,000",100%,"108,100,000","10,810,000", - ,"118,910,000",LUNAS 25/06/2018,LUNAS,,
120,SEMPANA SARANA TEKNIK,"LONG PIN L=2200mm, LONG PIN L=2840mm, BLOWDOWN VALVE DN40 PN25, Y-48",MATERIAL,043/VI/SST/18 DIREVISI JD 044/VI/SST/18,ZSBI-INV/18/VI/1338,05-Jun-18,"58,150,000",100%,"58,150,000","5,815,000", - ,"63,965,000",LUNAS 20/07/2018,LUNAS,,
121,SEMPANA SARANA TEKNIK,"Y-60, LIV.CORE 200A,200B,  GLASS ",MATERIAL,045/VI/SST/18,ZSBI-INV/18/VI/1339,05-Jun-18,"7,850,000",100%,"7,850,000","785,000", - ,"8,635,000",LUNAS 07/08/2018,LUNAS,,
122,SEMPANA SARANA TEKNIK,SEALING BAR 400x100x130,MATERIAL,046/VI/SST/18,ZSBI-INV/18/VI/1340,06-Jun-18,"4,100,000",100%,"4,100,000","410,000", - ,"4,510,000",LUNAS 07/08/2018,LUNAS,,
123,SEMPANA SARANA TEKNIK,GEAR SPROCKET 9 GIGI ZG 400,MATERIAL,048/VI/SST/18,ZSBI-INV/18/VI/1342,07-Jun-18,"2,220,000",100%,"2,220,000","222,000", - ,"2,442,000",LUNAS 07/08/2018,LUNAS,,
124,OCEAN ASIA INDUSTRY,"Y-45 PINGGIR, Y-45 TENGAH",MATERIAL,183093,ZSBI-INV/18/VI/1343,11-Jun-18,"15,750,000",100%,"15,750,000", - , - ,"15,750,000",LUNAS 31/10/2018,LUNAS,,
125,PACIFIC EASTERN COCONUT UTAMA,"ELBOW ECONOMIZER UK.2""",MATERIAL,HOPO1806021,ZSBI-INV/18/VI/1344,22-Jun-18,"31,950,000",100%," BATAL, NB: GANTI KE INVOICE NO: ZSBI-INV/18/XII/1342, KRNA COCONUT AMBILNYA DI TGL 04-DES-2018 ",,,,,BATAL,,
,,PIPE ECONOMIZER P=1500mm,,,,,,,,,,,,,,
,,SAFETY VALVE DN50 PN25 10BAR,,,,,,,,,,,,,,
,,SAFETY VALVE DN40 PN16 10BAR,,,,,,,,,,,,,,
,,VALVE BLOWDOWN DN50 PN25 FLANGE,,,,,,,,,,,,,,
126,OCEAN ASIA INDUSTRY,LONG AS DIA 18mm L2200mm,MATERIAL,183096,ZSBI-INV/18/VI/1345,25-Jun-18,"10,000,000",100%,"10,000,000", - , - ,"10,000,000",LUNAS 31/10/2018,LUNAS,,
127,JIALE INDONESIA TEXTILE,ADDITION WORK FOR 2UNIT YOLLY MACHINES INSTALLATION,MATERIAL,ZS.JL-SM/18/V/072(B),ZSBI-INV/18/VII/1348,02-Jul-18,"9,979,000",100%,"9,979,000", - , - ,"9,979,000",LUNAS 20/07/2018,LUNAS,,
128,OCEAN ASIA INDUSTRY,LONG AS DIA 18mm L2200mm,MATERIAL,183102,ZSBI-INV/18/VII/1349,03-Jul-18,"20,000,000",100%,"20,000,000", - , - ,"20,000,000",LUNAS 31/10/2018,LUNAS,,
129,OCEAN ASIA INDUSTRY,SERVICE 6JUTA CAL THERMAL OIL BOILER,JASA,183105,ZSBI-INV/18/VII/1350,05-Jul-18,"48,000,000",30%,"14,400,000", - , - ,"14,400,000",LUNAS 10/07/2018,LUNAS,,
,,,,,ZSBI-INV/18/VII/1354,16-Jul-18,,70%,"33,600,000", - , - ,"33,600,000",LUNAS 31/10/2018,LUNAS,,
130,OCEAN ASIA INDUSTRY,LONG AS DIA 18mm L2200mm,MATERIAL,183109,ZSBI-INV/18/VII/1351,06-Jul-18,"20,000,000",100%,"20,000,000", - , - ,"20,000,000",LUNAS 31/10/2018,LUNAS,,
131,JIALE INDONESIA TEXTILE,"""MEZ"" THREE PHASE MOTOR",MATERIAL,ZS.Q_SP/18/VII/314,ZSBI-INV/18/VII/1352,06-Jul-18,"47,000,000",100%,"47,000,000", - , - ,"47,000,000",LUNAS 11/07/2018,LUNAS,,
132,OCEAN ASIA INDUSTRY,"GRATE BAR T24, Y-45 PINGGIR,Y-45 TENGAH",MATERIAL,183110,ZSBI-INV/18/VII/1353,09-Jul-18,"81,550,000",100%,"81,550,000", - , - ,"81,550,000",LUNAS 31/10/2018,LUNAS,,
133,ELANG PERDANA TYRE INDUSTRY,General Service (Man Power),JASA & MATERIAL,18/07/PO/04260,ZSBI-INV/18/VII/1355,16-Jul-18,"2,000,000",100%,"8,000,000","800,000", - ,"8,800,000",LUNAS 03/08/2018,LUNAS,,
,,Perbaikan Pipa Coal Boiler,,,,,"6,000,000",,,,,,,,,
134,PACIFIC EASTERN COCONUT UTAMA,SPROCKET 6 GIGI,MATERIAL,HOPO1807024,ZSBI-INV/18/VII/1356,17-Jul-18,"2,800,000",100%,"29,800,000","2,980,000", - ,"32,780,000",LUNAS 17/07/2018,LUNAS,,
,,FOUR CLAW GRATE 350,,,,,"27,000,000",,,,,,,,,
135,ANUGERAH DWI PRATAMA,HELICAL HOLDER KIRI UK.165mm (1PCS),MATERIAL,090/ADP-PO/VII/18,ZSBI-INV/18/VII/1357,18-Jul-18,"140,000",100%,"140,000","14,000", - ,"154,000", LUNAS 23/08/2018 ,LUNAS,,
136,BATARA ELOK SEMESTA TERPADU,ROLLER 255x220mm (299PCS),MATERIAL,OPP-1806-00001,ZSBI-INV/18/VII/1358,19-Jul-18,"34,983,000",100%,"34,983,000","3,498,300", - ,"38,481,300",LUNAS 13/08/2018,LUNAS,,
137,BATARA ELOK SEMESTA TERPADU,GRATE BAR 288 (Q200) ,MATERIAL,OPP-1806-00011,ZSBI-INV/18/VII/1359,19-Jul-18,"26,250,000",100%,"26,250,000","2,625,000", - ,"28,875,000",LUNAS 09/08/2018,LUNAS,,
138,BATARA ELOK SEMESTA TERPADU,CHAIN TRAVELLING GRATE DZL20 8mm FOR HOLDER 160mm P=17M,MATERIAL,OPP-1806-00056,ZSBI-INV/18/VII/1360,19-Jul-18,"90,695,000",100%,"90,695,000","9,069,500", - ,"99,764,500",LUNAS 09/08/2018,LUNAS,,
139,BATARA ELOK SEMESTA TERPADU,U-BOLT 18 (DZL 25),MATERIAL,OPP-1807-00091,ZSBI-INV/18/VII/1361,19-Jul-18,"6,000,000",100%,"6,000,000","600,000", - ,"6,600,000",LUNAS 09/08/2018,LUNAS,,
140,ELANG PERDANA TYRE INDUSTRY,Scrapper for slag off,MATERIAL,18/07/PO/04313,ZSBI-INV/18/VII/1362,20-Jul-18,"5,280,000",100%,"5,280,000","528,000", - ,"5,808,000",LUNAS 03/08/2018,LUNAS,,
141,ANUGERAH DWI PRATAMA,HELICAL HOLDER KIRI UK.165mm (119 PCS),MATERIAL,091/ADP-PO/VII/2018,ZSBI-INV/18/VII/1363,20-Jul-18,"16,660,000",100%,"16,660,000","1,666,000", - ,"18,326,000",LUNAS 23/08/2018,LUNAS,,
142,OCEAN ASIA INDUSTRY,"Y-48 SAMPING, GRATE BAR T24, LONG AS DIA.18 L=2200mm",MATERIAL,183119,ZSBI-INV/18/VII/1364,25-Jul-18,"27,000,000",100%,"27,000,000", - , - ,"27,000,000",LUNAS 31/10/2018,LUNAS,,
143,JIALE INDONESIA TEXTILE,"CAP SIZE 2"" SCH 40 A234 WPB, TRANSPORT",MATERIAL,ZS.P-SP/18/VII/078,ZSBI-INV/18/VII/1365,27-Jul-18,"2,950,000",100%,"2,950,000", - , - ,"2,950,000",LUNAS 15/08/2018,LUNAS,,
144,GLOBAL INTERITI INDUSTRY,"CHAIN TRAVEL 160x6 L=15m, GRATE BAR 318,ROLLER285,LEFT,RIGHT,MIDDLE HOLDER 160mm,PIN HOLDER,LINER285,LONG SHAFT 2020mm ",MATERIAL,OPP-1807-00135,ZSBI-INV/18/VII/1366,30-Jul-18,"369,345,000",20%,"73,869,000","7,386,900", - ,"81,255,900",LUNAS 10/08/2018,LUNAS,,
,,,,,ZSBI-INV/18/VIII/1374,13-Aug-18,,80%,"295,476,000","29,547,600", - ,"325,023,600",LUNAS 18/09/2018,LUNAS,,
145,BERKAH ABADI ENGINEERING,"GRATE BAR 301, MIDDLE HOLDER 160",MATERIAL,056/BAE/VII/18,ZSBI-INV/18/VII/1370,17-Jul-18,"35,660,000",100%,"35,660,000","3,566,000", - ,"39,226,000",LUNAS 25/09/2018,LUNAS,,
146,BERKAH ABADI ENGINEERING,"PS MOTOR 2,2KW, 1400 RPM DAN SPEED ADJUSTER FOR 2,2 KW",MATERIAL,059/BAE/VII/18,ZSBI-INV/18/VII/1371,31-Jul-18,"10,000,000",100%,"10,000,000","1,000,000", - ,"11,000,000",LUNAS 03/08/2018,LUNAS,,
147,JIALE INDONESIA TEXTILE,"LONG SHAFT DIA.18,L=2200mm",MATERIAL,ZS.P-SP/18/II/078,ZSBI-INV/18/VIII/1367,02-Aug-18,"27,975,000",100%,"27,975,000", - , - ,"27,975,000",LUNAS 13/08/2018,LUNAS,,
148,BROCO AERATED CONCRETE INDUSTRY,UHGG FLOAT SENSOR 31A-G L=440mm,MATERIAL,00005/PMB/SPE/ACI/08/18,ZSBI-INV/18/VIII/1368,02-Aug-18,"8,000,000",30%,"2,400,000","240,000", - ,"2,640,000",LUNAS 07/08/2018,LUNAS,,
,,DISPLAY SZD-2A,,,ZSBI-INV/18/IX/1397,21-Sep-18,,70%,"5,600,000","560,000", - ,"6,160,000",LUNAS 13/11/2018,LUNAS,,
149,SEMPANA SARANA TEKNIK,CHAIN GRATE 200A & 200B,MATERIAL,055/VIII/SST/18,ZSBI-INV/18/VIII/1369,02-Aug-18,"10,000,000",100%,"10,000,000","1,000,000", - ,"11,000,000",LUNAS 24/09/2018,LUNAS,,
150,SEMPANA SARANA TEKNIK,U-BOLT 14 (SAMBUNGAN LINK) 50 pcs,MATERIAL,050/VIII/SST/18,ZSBI-INV/18/VIII/1372,07-Aug-18,"1,250,000",100%,"1,250,000","125,000", - ,"1,375,000",LUNAS 24/09/2018,LUNAS,,
151,COTTONINDO ARIESTA,"T24 LENGKUNG, LONG AS 1710mm, PIN KONDE D 4,5mm",MATERIAL,18/NS/08/014,ZSBI-INV/18/VIII/1373,10-Aug-18,"13,050,000",100%,"13,050,000","1,305,000", - ,"14,355,000",LUNAS 04/09/2018,LUNAS,,
152,SEMPANA SARANA TEKNIK,"LONG PIN 2200mm,1570mm,2840mm, CHAIN GRATE 200A,200B",MATERIAL,052/VIII/SST/18,ZSBI-INV/18/VIII/1375,13-Aug-18,"46,350,000",100%,"46,350,000","4,635,000", - ,"50,985,000",LUNAS 24/10/2018,LUNAS,,
153,SEMPANA SARANA TEKNIK,Y-48 TENGAH,MATERIAL,053/VIII/SST/18,ZSBI-INV/18/VIII/1376,15-Aug-18,"7,000,000",100%,"7,000,000","700,000", - ,"7,700,000",LUNAS 24/10/2018,LUNAS,,
154,JIALE INDONESIA TEXTILE,SERVICE CHAIN GRATE BOILER 10T,JASA,ZS.JL-SM/18/VIII/080,ZSBI-INV/18/VIII/1377,15-Aug-18,"23,500,000",100%,"23,500,000", - , - ,"23,500,000",LUNAS 12/09/2018,LUNAS,,
155,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm X 1710cm,MATERIAL,182000411,ZSBI-INV/18/VIII/1378,20-Aug-18,"4,800,000",100%,"4,800,000","480,000", - ,"5,280,000",LUNAS 31/08/2018,LUNAS,,
155,DUCON TETRABLOK INDONESIA,"AS CHAIN GRATE DIA.18mm X 1710cm, Y-47 TENGAH",MATERIAL,182000422,ZSBI-INV/18/VIII/1379,27-Aug-18,"8,700,000",100%,"8,700,000","870,000", - ,"9,570,000",LUNAS 07/09/2018,LUNAS,,
156,ANUGERAH DWI PRATAMA,DRIVE LINK 64 (Y-60),MATERIAL,108/ADP-PO/VIII/2018,ZSBI-INV/18/VIII/1380,27-Aug-18,"17,600,000",100%,"17,600,000","1,760,000", - ,"19,360,000",LUNAS 28/09/2018,LUNAS,,
157,BATARA ELOK SEMESTA TERPADU,GEARBOX GL-10P,MATERIAL,OPP-1808-00476,ZSBI-INV/18/VIII/1381,31-Aug-18,"33,000,000",100%,"33,000,000","3,300,000", - ,"36,300,000",LUNAS 21/09/2018,LUNAS,,
158,BATARA ELOK SEMESTA TERPADU,ROLLER 255x220mm (1PCS KEKURANGAN),MATERIAL,OPP-1806-00001,ZSBI-INV/18/VIII/1382,31-Aug-18,"117,000",100%,"117,000","11,700", - ,"128,700",LUNAS 21/09/2018,LUNAS,,
159,SEMPANA SARANA TEKNIK,LONG SHAFT DIA.18x2840mm,MATERIAL,065/VIII/SST/18,ZSBI-INV/18/VIII/1383,31-Aug-18,"12,410,000",100%,"12,410,000","1,241,000", - ,"13,651,000",LUNAS 15/11/2018,LUNAS,,
160,ELANG PERDANA TYRE INDUSTRY,Sight Glass B42X-2.5 L=350 25 Bar (BATAL),MATERIAL,18/09/PO/05565,ZSBI-INV/18/IX/1384,05-Sep-18,"4,436,800",100%, BATAL ,,,,INV 05/09/2018,BATAL,,
